order_id,customer_id,email_id,phone,signup_date,preferred_channel
14032023-KITC-012,CUST_045,harsh.agarwal@mail.com,7176383634,23-07-2023,SMS
15082024-FASH-122,CUST_047,simran.kaur@mail.com,8712922743,27-10-2024,Email
25122024-GARD-013,CUST_049,yash.tiwari@mail.com,8163215678,19-12-2024,App
31082024-HOME-123,CUST_051,anushka.das@mail.com,8861957394,12-07-2024,Email
08102024-PETS-014,CUST_053,dev.menon@mail.com,8885367899,05-03-2024,Email
10022023-GROC-124,CUST_055,payal.yadav@mail.com,7336967606,14-08-2023,Email
02032023-MOBL-015,CUST_057,karan.malhotra@mail.com,8077437785,04-04-2024,SMS
26092024-TOYS-125,CUST_059,nikita.shukla@mail.com,7108880612,26-08-2024,Email
23082023-COMP-016,CUST_061,aravind.naidu@mail.com,7791707097,12-10-2023,SMS
25032023-SPORT-126,CUST_063,rashi.bajaj@mail.com,7347346749,07-01-2023,SMS
11032023-GAME-017,CUST_065,aman.khandelwal@mail.com,8839596670,13-06-2023,Email
05032024-BOOK-127,CUST_067,saloni.sharma@mail.com,9989186440,15-12-2024,Email
02022023-MUSC-018,CUST_069,manav.garg@mail.com,9957084555,08-03-2024,Email
04112024-BEAU-128,CUST_071,deepika.rathore@mail.com,8756439540,15-12-2023,App
05122023-JEWL-019,CUST_073,parth.jain@mail.com,7249939584,12-10-2023,Email
20082024-AUTO-129,CUST_075,ritika.batra@mail.com,7744293433,09-06-2023,SMS
14032023-BABY-020,CUST_077,vivek.pandey@mail.com,7671891968,09-08-2023,Email
01082024-MEDI-130,CUST_079,sneha.dubey@mail.com,8899888366,11-12-2023,App
10062024-ELEC-021,CUST_081,chirag.arora@mail.com,8074785057,15-04-2023,Email
19062024-OFFC-131,CUST_083,tanya.sethi@mail.com,8029878879,05-04-2023,App
01092023-FASH-022,CUST_085,rishabh.sharma@mail.com,9358910589,25-01-2024,App
20112023-KITC-132,CUST_087,aarti.agarwal@mail.com,7403182709,10-04-2023,Email
13102023-HOME-023,CUST_089,nikhil.chawla@mail.com,7785403480,03-01-2024,SMS
25092023-GARD-133,CUST_091,divya.thakur@mail.com,9835526119,19-12-2023,App
16112024-GROC-024,CUST_093,mohit.singhal@mail.com,8202306932,10-09-2024,Email
29072023-PETS-134,CUST_095,anjali.verma@mail.com,9741351296,28-09-2023,Email
12052024-TOYS-025,CUST_097,sahil.kumar@mail.com,9219193532,14-02-2023,SMS
16112024-MOBL-135,CUST_099,pallavi.saxena@mail.com,9822271679,15-04-2024,App
08082023-SPORT-026,CUST_101,anshul.gupta@mail.com,9380932542,03-07-2024,App
18112023-COMP-136,CUST_103,shreya.mittal@mail.com,8871200836,08-05-2023,Email
06072024-BOOK-027,CUST_105,kartik.bansal@mail.com,9627320597,23-01-2024,Email
02092023-GAME-137,CUST_107,sonal.singh@mail.com,8802168566,22-03-2023,SMS
16052023-BEAU-028,CUST_109,abhishek.joshi@mail.com,7204939202,19-07-2024,SMS
29092023-MUSC-138,CUST_111,megha.kapoor@mail.com,8063996491,28-10-2023,App
07082024-AUTO-029,CUST_113,pranav.garg@mail.com,9431111321,05-10-2024,App
10022024-JEWL-139,CUST_115,juhi.batra@mail.com,8528891023,25-09-2024,Email
13082024-MEDI-030,CUST_117,tarun.mehra@mail.com,7681381298,06-01-2024,App
15052023-BABY-140,CUST_119,rakhi.singh@mail.com,7516103253,14-08-2024,SMS
29042024-OFFC-031,CUST_121,gaurav.tyagi@mail.com,7061819576,16-07-2023,SMS
18112024-ELEC-141,CUST_123,neetu.patel@mail.com,8468362012,22-12-2024,Email
06092023-KITC-032,CUST_125,rahul.mahajan@mail.com,7498528205,13-03-2023,SMS
22102024-FASH-142,CUST_127,priya.deshmukh@mail.com,7394274011,16-02-2023,SMS
29042024-GARD-033,CUST_129,naveen.kumar@mail.com,7197579844,08-11-2024,SMS
04112023-HOME-143,CUST_131,aishwarya.rao@mail.com,7404401198,22-08-2023,SMS
21022024-PETS-034,CUST_133,pankaj.shukla@mail.com,7174928880,24-10-2023,Email
13042024-GROC-144,CUST_135,komal.verma@mail.com,8337509981,23-03-2023,Email
14072023-MOBL-035,CUST_137,sachin.choudhary@mail.com,7753037764,27-08-2023,App
20112023-TOYS-145,CUST_139,neelam.soni@mail.com,9036561099,14-04-2023,SMS
07042023-COMP-036,CUST_141,ankit.goyal@mail.com,7073706383,25-01-2024,App
16032023-SPORT-146,CUST_143,rekha.malhotra@mail.com,7420194521,12-10-2023,Email
10042023-GAME-037,CUST_145,sumit.saini@mail.com,9111474095,09-04-2024,Email
10012023-BOOK-147,CUST_147,bhavna.jain@mail.com,9033545766,12-10-2024,Email
05112024-MUSC-038,CUST_149,amit.kapoor@mail.com,8487365731,09-01-2024,Email
14042024-BEAU-148,CUST_151,sakshi.sharma@mail.com,7743896352,16-06-2023,Email
17032024-JEWL-039,CUST_153,dinesh.tiwari@mail.com,8995758845,15-01-2024,Email
28092024-AUTO-149,CUST_155,poornima.nair@mail.com,8863378653,30-12-2023,Email
29122023-BABY-040,CUST_157,saurabh.singh@mail.com,9790756708,03-08-2023,SMS
30072024-MEDI-150,CUST_159,neha.arora@mail.com,8711564822,17-11-2024,App
09032024-ELEC-041,CUST_161,manish.joshi@mail.com,7206411513,01-10-2023,Email
13042023-OFFC-151,CUST_163,priti.gupta@mail.com,9645056009,19-12-2024,SMS
25022024-FASH-042,CUST_165,alok.srivastava@mail.com,9727706436,30-11-2024,SMS
17032023-KITC-152,CUST_167,kiran.reddy@mail.com,7194579233,25-10-2024,App
23042024-HOME-043,CUST_169,harish.naidu@mail.com,8120529587,15-03-2023,Email
04072024-GARD-153,CUST_171,lata.iyer@mail.com,8608948958,15-09-2024,App
25022023-GROC-044,CUST_173,ashok.patel@mail.com,7065732489,12-10-2024,Email
07082023-PETS-154,CUST_175,ruchi.saxena@mail.com,9688047865,25-06-2023,SMS
20112024-TOYS-045,CUST_177,vikas.sharma@mail.com,9160953785,30-06-2024,SMS
02062024-MOBL-155,CUST_179,anjali.kapoor@mail.com,9151949919,08-09-2023,SMS
31102024-SPORT-046,CUST_181,nitesh.verma@mail.com,9316608503,17-06-2023,SMS
29092023-COMP-156,CUST_183,seema.agarwal@mail.com,9829067588,18-04-2024,App
23102024-BOOK-047,CUST_185,rohit.yadav@mail.com,9937602028,24-01-2024,Email
16052023-GAME-157,CUST_187,swati.jain@mail.com,7699798019,04-10-2023,Email
11042023-BEAU-048,CUST_189,ajay.bansal@mail.com,9645060623,17-10-2024,App
24122023-MUSC-158,CUST_191,tanisha.singh@mail.com,7303090455,05-12-2024,Email
04032023-AUTO-049,CUST_193,sandeep.mehra@mail.com,9759169782,24-07-2024,SMS
12032023-JEWL-159,CUST_195,varsha.mishra@mail.com,7113865200,13-08-2023,Email
17022024-MEDI-050,CUST_197,mahesh.gupta@mail.com,9515886975,02-12-2024,SMS
08092023-BABY-160,CUST_199,rekha.chopra@mail.com,9733332639,29-11-2023,App
14122023-OFFC-051,CUST_201,deepak.shetty@mail.com,9471642775,27-02-2023,Email
14012024-ELEC-161,CUST_203,nidhi.nair@mail.com,9908415883,23-08-2023,App
22042023-KITC-052,CUST_205,shyam.pillai@mail.com,8667177137,02-02-2023,Email
19102023-FASH-162,CUST_207,monika.sharma@mail.com,9462592674,20-11-2023,SMS
12092023-GARD-053,CUST_209,bharat.rathore@mail.com,9762901883,15-02-2024,App
11062023-HOME-163,CUST_211,priya.bajaj@mail.com,7551904800,02-10-2023,Email
16072023-PETS-054,CUST_213,puneet.garg@mail.com,8968181152,09-03-2023,SMS
24032024-GROC-164,CUST_215,anita.malhotra@mail.com,9343406258,05-08-2023,App
14072023-MOBL-055,CUST_217,arvind.tyagi@mail.com,9688390411,03-08-2024,App
10072024-TOYS-165,CUST_219,geeta.shukla@mail.com,8658298178,19-11-2023,Email
03072024-COMP-056,CUST_002,sanjay.patel@mail.com,9798105767,06-08-2023,Email
21122024-SPORT-166,CUST_004,kajal.das@mail.com,7887702570,02-11-2024,Email
04042024-GAME-057,CUST_006,lalit.singhal@mail.com,7840916523,26-05-2024,SMS
06112023-BOOK-167,CUST_008,suman.saxena@mail.com,8176654108,10-02-2024,Email
24052023-MUSC-058,CUST_010,naresh.joshi@mail.com,7297904524,20-10-2024,App
18092024-BEAU-168,CUST_012,usha.reddy@mail.com,7921653259,14-04-2024,App
08032024-JEWL-059,CUST_014,rajiv.kumar@mail.com,7432838238,27-05-2023,Email
31102024-AUTO-169,CUST_016,hema.iyer@mail.com,8620315437,29-09-2023,Email
07072023-BABY-060,CUST_018,suresh.naidu@mail.com,7078262145,23-05-2023,App
25062024-MEDI-170,CUST_020,neetu.sharma@mail.com,7167345404,10-09-2023,SMS
13102023-ELEC-061,CUST_022,sunil.verma@mail.com,7405629426,28-07-2024,Email
09012023-OFFC-171,CUST_024,sarita.gupta@mail.com,9655380209,05-07-2024,Email
18042024-FASH-062,CUST_026,anil.kapoor@mail.com,9933491746,27-09-2023,App
14112024-KITC-172,CUST_028,pooja.arora@mail.com,8445489366,21-08-2024,Email
13092023-HOME-063,CUST_030,pradeep.jain@mail.com,7305752912,14-03-2024,SMS
21072024-GARD-173,CUST_032,komal.shukla@mail.com,9816307289,20-08-2024,App
19032023-GROC-064,CUST_034,alok.bansal@mail.com,8369989895,13-02-2024,Email
03112023-PETS-174,CUST_036,manju.singh@mail.com,8655265884,06-01-2024,App
29032024-TOYS-065,CUST_038,dilip.chawla@mail.com,9927508425,13-08-2023,Email
10112024-MOBL-175,CUST_040,meena.patel@mail.com,7099952217,22-05-2023,Email
17072024-SPORT-066,CUST_042,rajeev.mehra@mail.com,8462971389,05-06-2024,Email
17042023-COMP-176,CUST_044,rekha.joshi@mail.com,8119674482,20-05-2024,SMS
11042023-BOOK-067,CUST_046,vinod.saxena@mail.com,8210557032,04-04-2023,SMS
18052023-GAME-177,CUST_048,pooja.kapoor@mail.com,9130464646,18-02-2023,App
21022023-BEAU-068,CUST_050,rakesh.sharma@mail.com,7507514051,23-04-2023,Email
28092023-MUSC-178,CUST_052,shweta.gupta@mail.com,9975941433,06-06-2023,Email
29102024-AUTO-069,CUST_054,girish.nair@mail.com,9992463348,04-10-2024,SMS
29042023-JEWL-179,CUST_056,divya.reddy@mail.com,8496094321,13-06-2023,Email
07072024-MEDI-070,CUST_058,mukesh.tyagi@mail.com,9701288940,27-11-2024,SMS
20042023-BABY-180,CUST_060,payal.jain@mail.com,7168303991,08-03-2024,Email
16012023-OFFC-071,CUST_062,arun.kumar@mail.com,8795064536,02-09-2024,App
20072024-ELEC-181,CUST_064,sapna.bansal@mail.com,8211329272,07-03-2023,Email
06042023-KITC-072,CUST_066,ravi.singh@mail.com,9353521315,30-01-2024,Email
09062023-FASH-182,CUST_068,neha.verma@mail.com,7762097033,26-01-2024,SMS
31082023-GARD-073,CUST_070,sachin.gupta@mail.com,8818793828,02-09-2024,Email
06102023-HOME-183,CUST_072,ritika.sharma@mail.com,9441776023,24-04-2024,Email
20062023-PETS-074,CUST_074,manoj.kapoor@mail.com,9473577186,25-06-2024,SMS
16102023-GROC-184,CUST_076,aarti.jain@mail.com,8772179439,15-09-2023,App
21022024-MOBL-075,CUST_078,vijay.soni@mail.com,7548423203,20-07-2024,App
11092024-TOYS-185,CUST_080,simran.verma@mail.com,8597805521,12-01-2023,SMS
12052024-COMP-076,CUST_082,dheeraj.joshi@mail.com,8073812464,27-11-2024,SMS
04082023-SPORT-186,CUST_084,pooja.reddy@mail.com,9493417567,28-04-2023,SMS
07052024-GAME-077,CUST_086,vivek.garg@mail.com,8463740055,29-11-2024,SMS
18122023-BOOK-187,CUST_088,shruti.patel@mail.com,9413199071,03-07-2024,SMS
07082023-MUSC-078,CUST_090,harshit.saxena@mail.com,8024765707,01-10-2023,App
28072023-BEAU-188,CUST_092,nikita.jain@mail.com,8842515312,18-10-2024,App
15022024-JEWL-079,CUST_094,siddharth.verma@mail.com,9919911094,15-12-2023,SMS
04122024-AUTO-189,CUST_096,priya.sharma@mail.com,8023216482,25-04-2023,Email
02032023-BABY-080,CUST_098,aditya.gupta@mail.com,7442913640,28-10-2023,SMS
11102024-MEDI-190,CUST_100,meera.patel@mail.com,8622333213,21-03-2024,Email
18062023-ELEC-081,CUST_102,kabir.singh@mail.com,9294919024,11-06-2023,SMS
28092023-OFFC-191,CUST_104,ananya.jain@mail.com,9170042429,09-04-2024,SMS
24012024-FASH-082,CUST_106,vihaan.sharma@mail.com,9132714067,04-01-2023,App
01062024-KITC-192,CUST_108,isha.verma@mail.com,8673396952,27-09-2023,Email
03012023-HOME-083,CUST_110,rohan.gupta@mail.com,8374602581,27-05-2024,Email
15052024-GARD-193,CUST_112,diya.kapoor@mail.com,8278333324,02-07-2023,App
04022024-GROC-084,CUST_114,aarav.joshi@mail.com,7429431826,03-06-2024,App
15092023-PETS-194,CUST_116,tanvi.sharma@mail.com,8671608496,19-04-2023,App
29092023-TOYS-085,CUST_118,rahul.patel@mail.com,7229717603,02-10-2024,App
22022023-MOBL-195,CUST_120,kavya.verma@mail.com,7046547339,02-11-2023,Email
10042024-SPORT-086,CUST_122,akash.singh@mail.com,7392073291,16-10-2024,Email
05042023-COMP-196,CUST_124,shruti.jain@mail.com,8524306184,03-06-2024,SMS
20102023-BOOK-087,CUST_126,varun.gupta@mail.com,8371441606,15-09-2024,SMS
11102024-GAME-197,CUST_128,neha.kapoor@mail.com,9906704606,23-07-2023,App
09032024-BEAU-088,CUST_130,yash.sharma@mail.com,9072411699,06-06-2023,App
09032024-MUSC-198,CUST_132,anushka.verma@mail.com,9462896978,18-01-2024,App
14122024-AUTO-089,CUST_134,dev.patel@mail.com,9117529081,15-06-2023,SMS
11102023-JEWL-199,CUST_136,payal.singh@mail.com,9713720174,06-07-2024,SMS
23072024-MEDI-090,CUST_138,karan.jain@mail.com,7357703823,27-06-2024,SMS
15022023-BABY-200,CUST_140,nikita.gupta@mail.com,8926058868,01-01-2023,SMS
08112024-OFFC-091,CUST_142,aman.sharma@mail.com,7393866308,05-09-2024,SMS
04012023-ELEC-201,CUST_144,saloni.verma@mail.com,8259330658,28-11-2023,SMS
13052024-KITC-092,CUST_146,manav.patel@mail.com,9587464075,15-05-2024,SMS
08122023-FASH-202,CUST_148,deepika.singh@mail.com,8411603480,20-01-2023,App
08062023-GARD-093,CUST_150,parth.jain@mail.com,9378136499,25-04-2023,App
14052023-HOME-203,CUST_152,ritika.gupta@mail.com,9888444794,07-01-2024,App
14072023-PETS-094,CUST_154,vivek.sharma@mail.com,7913659348,11-11-2023,App
14102024-GROC-204,CUST_156,sneha.verma@mail.com,7487326758,03-09-2023,SMS
31102023-MOBL-095,CUST_158,chirag.patel@mail.com,7391727212,01-03-2023,Email
26092023-TOYS-205,CUST_160,tanya.singh@mail.com,9123519017,04-09-2023,SMS
11082023-COMP-096,CUST_162,rishabh.jain@mail.com,7247212966,03-08-2024,Email
15062023-SPORT-206,CUST_164,aarti.gupta@mail.com,9360208606,22-03-2023,App
01032023-GAME-097,CUST_166,nikhil.sharma@mail.com,7239964793,29-03-2023,SMS
28032024-BOOK-207,CUST_168,divya.verma@mail.com,8896359044,12-05-2024,App
16082024-MUSC-098,CUST_170,mohit.patel@mail.com,9344690396,12-03-2023,SMS
18072024-BEAU-208,CUST_172,anjali.singh@mail.com,8507168490,29-06-2024,App
09072024-JEWL-099,CUST_174,sahil.jain@mail.com,7502798993,09-05-2023,Email
23122024-AUTO-209,CUST_176,pallavi.gupta@mail.com,7614144587,12-05-2023,Email
04032023-BABY-100,CUST_178,anshul.sharma@mail.com,9955066376,06-11-2024,Email
13032024-MEDI-210,CUST_180,shreya.verma@mail.com,9655226347,01-05-2024,SMS
18112023-ELEC-101,CUST_182,kartik.patel@mail.com,7434318588,16-07-2024,Email
28072024-OFFC-211,CUST_184,sonal.singh@mail.com,7361235974,19-06-2023,SMS
28022023-FASH-102,CUST_186,abhishek.jain@mail.com,8830048941,29-09-2023,Email
10012023-KITC-212,CUST_188,megha.gupta@mail.com,7955958439,24-06-2024,Email
21022023-HOME-103,CUST_190,pranav.sharma@mail.com,7312514729,13-09-2024,SMS
25042023-GARD-213,CUST_192,juhi.verma@mail.com,8703605640,09-03-2024,SMS
21082024-GROC-104,CUST_194,tarun.patel@mail.com,7629662913,05-08-2023,Email
19032023-PETS-214,CUST_196,rakhi.singh@mail.com,7349390340,06-07-2024,SMS
03052024-TOYS-105,CUST_198,gaurav.jain@mail.com,9204719132,07-12-2024,Email
08122024-MOBL-215,CUST_200,neetu.gupta@mail.com,7364375204,25-07-2023,SMS
29052024-SPORT-106,CUST_202,rahul.sharma@mail.com,8001706917,31-12-2024,App
02062023-COMP-216,CUST_204,priya.verma@mail.com,9496687751,16-11-2023,App
27062024-BOOK-107,CUST_206,rajat.sharma@mail.com,8607480815,13-02-2024,App
12072024-GAME-217,CUST_208,neel.verma@mail.com,8591895872,18-11-2024,App
11062023-BEAU-108,CUST_210,kiran.patel@mail.com,8016555152,27-10-2024,App
06022023-MUSC-218,CUST_212,isha.singh@mail.com,9542142764,18-01-2024,Email
28022023-AUTO-109,CUST_214,arjun.jain@mail.com,8504175907,24-03-2024,App
14012024-JEWL-219,CUST_216,megha.kapoor@mail.com,8616022597,13-06-2024,App
04062024-MEDI-110,CUST_218,rohit.gupta@mail.com,7358632862,07-04-2024,App
19082024-BABY-220,CUST_220,tanisha.reddy@mail.com,9068743954,04-05-2023,App
